Brand,Model,Year,Country,Condition,Engine_Size,Horsepower,Torque,Weight,Top_Speed,Acceleration_0_100,Fuel_Type,Drivetrain,Transmission,Fuel_Efficiency,CO2_Emissions,Price,Mileage,Popularity,Safety_Rating,Number_of_Owners,Market_Demand,Insurance_Cost,Production_Units,Log_Price,Log_Mileage,Modification
Nissan,720S,2006,Asia,used,3.7,420,705,1785,238,5.7,Diesel,RWD,Automatic,10.5,307,81580,96664,Low,2,4,Medium,13410,5000,11.309351670702771,11.479006671766601,V-Spec
McLaren,911 Turbo S,2009,Europe,new,5.3,1104,766,992,386,4.6,Electric,RWD,DCT,9.4,113,308455,159630,High,2,2,Medium,10795,1000,12.639334486547801,11.980620180725527,
Chevrolet,M4 Competition,2009,USA,new,5.5,153,1573,2022,397,6.7,Diesel,FWD,Automatic,5.0,321,420374,111496,High,1,2,Low,1716,20000,12.94890244904257,11.621752963690746,
Bugatti,Chiron,1982,Asia,used,5.4,544,1009,1091,151,2.7,Petrol,RWD,CVT,7.3,343,123690,217228,High,2,4,Medium,11618,20000,11.725541799064322,12.288707375624645,
Nissan,Chiron,2022,Europe,new,2.4,980,693,1232,385,3.0,Petrol,AWD,DCT,6.0,246,75303,150318,Low,3,2,Medium,11324,100000,11.229288533227056,11.920514981590498,
BMW,GT-R,1986,Europe,new,5.4,1091,632,2135,341,3.4,Petrol,RWD,Automatic,8.2,374,478142,228779,High,2,3,Medium,5274,200,13.077665129913127,12.340516122079665,
Porsche,720S,1988,Asia,new,4.2,810,1222,2130,245,2.1,Electric,RWD,CVT,7.4,176,398429,222953,Medium,4,3,Medium,5645,5000,12.895287103062406,12.314720751137111,Nismo
Nissan,720S,2020,USA,new,7.4,1189,184,1526,185,6.7,Diesel,RWD,CVT,12.6,207,133803,202882,High,2,4,Medium,12037,50,11.804131321595625,12.220384737187917,V-Spec
Chevrolet,Mustang GT,2021,Europe,new,7.4,230,302,1885,245,4.2,Electric,RWD,CVT,10.0,429,245162,47481,Medium,1,2,Low,3899,1000,12.409678574431307,10.768105970835613,
Bugatti,DBS,1992,USA,new,6.5,675,1209,1472,382,4.4,Electric,FWD,CVT,13.2,210,451504,101321,Low,3,4,Medium,14850,5000,13.02034172597498,11.526058843360191,
McLaren,720S,1994,USA,salvage,6.1,168,954,1255,297,2.8,Petrol,AWD,Manual,11.4,224,396218,24465,High,2,3,Low,10529,200,12.889722367674747,10.105039677606861,
Chevrolet,Huracan,1984,Asia,used,2.3,340,1351,2176,332,6.4,Petrol,AWD,Automatic,11.6,192,203116,88572,Low,3,2,Low,6921,100000,12.22153744667516,11.391582349744057,
Chevrolet,DBS,2008,Europe,new,2.1,871,173,1490,186,5.5,Diesel,AWD,Manual,13.8,336,42412,45449,Low,1,4,Medium,9625,1000,10.655210198000303,10.724368099605625,Supercharged
Porsche,Huracan,2014,Europe,used,7.0,721,1364,1095,383,4.2,Electric,FWD,CVT,13.5,347,347528,115875,Medium,2,1,Low,14327,5000,12.758603393742366,11.66027593282013,GT
Aston Martin,Chiron,2006,USA,new,4.3,879,355,1161,251,6.4,Diesel,RWD,DCT,5.6,242,405877,18299,Low,4,2,High,10760,100000,12.913807900816082,9.814656338829511,Turbo
Bugatti,DBS,2006,Asia,used,4.5,301,1008,1221,374,6.5,Diesel,AWD,Automatic,10.8,308,449165,17371,High,3,3,Low,3523,200,13.015147808866022,9.762614993654712,
Lamborghini,720S,1987,Asia,new,7.0,967,731,1319,329,2.2,Diesel,AWD,Automatic,9.1,418,148171,175288,Medium,2,1,Medium,12833,20000,11.906129040120726,12.074191319368326,V-Spec
Chevrolet,911 Turbo S,2011,Asia,new,5.6,571,1078,2421,218,2.6,Diesel,RWD,CVT,11.0,122,472153,43266,Low,4,3,High,2636,100000,13.065060482539264,10.675145498714587,
Aston Martin,GT-R,1999,USA,used,2.7,1212,557,1231,219,2.1,Petrol,AWD,DCT,13.6,109,160119,80787,Medium,1,3,Low,4362,5000,11.98367881310651,11.299583718628279,
Lamborghini,Huracan,1989,USA,new,3.0,663,1123,2219,299,4.9,Diesel,RWD,DCT,5.1,355,497597,48529,High,4,4,Medium,5103,1000,13.117547801106424,10.789937442399262,
Bugatti,DBS,1992,Europe,used,1.6,494,1246,2159,362,3.1,Petrol,FWD,Automatic,5.1,276,434604,104880,Low,1,3,High,6916,100000,12.982192851570316,11.560581653098456,
Ferrari,720S,2008,Asia,new,6.1,496,1579,1580,360,6.2,Diesel,AWD,Manual,5.6,353,367143,24228,High,3,1,Medium,13907,200,12.81350942065171,10.095305541807429,Track Edition
BMW,DBS,2014,USA,new,4.7,1497,813,906,256,4.3,Petrol,AWD,DCT,13.7,389,309732,93715,Low,2,4,Medium,3299,5000,12.643465915015126,11.44802421138653,GT
Aston Martin,720S,1987,Asia,used,7.7,425,1082,1433,164,6.2,Diesel,RWD,Automatic,8.5,194,374666,206153,Low,2,4,Medium,11829,100000,12.833792910446983,12.23637874129388,Sport
Ford,720S,2008,USA,used,6.2,1494,1564,971,247,4.8,Electric,FWD,DCT,8.7,394,112535,123873,Medium,3,2,High,5492,1000,11.631028449437531,11.72702019894582,
Ferrari,720S,2010,Europe,new,2.3,735,1251,2423,196,6.0,Electric,AWD,CVT,8.5,179,203871,141759,High,1,1,High,2492,200,12.225247624916214,11.861890765838908,
BMW,Mustang GT,2020,Asia,new,2.6,885,643,1517,348,3.9,Petrol,RWD,DCT,7.3,317,451923,107285,Medium,1,1,High,14304,5000,13.021269303084065,11.583253444803258,Track Edition
Porsche,GT-R,2009,USA,new,4.8,652,1586,1038,358,6.7,Petrol,FWD,Manual,5.4,308,155045,35476,High,2,3,Medium,8909,5000,11.951477126066182,10.476639878169875,
Nissan,911 Turbo S,2001,Asia,salvage,7.5,394,1649,2309,257,5.3,Diesel,RWD,Manual,14.1,199,254822,95456,Medium,3,4,High,4004,20000,12.448324465482317,11.466431163290443,Nismo
McLaren,911 Turbo S,2000,USA,new,3.2,1191,523,1441,257,5.0,Electric,AWD,Manual,7.3,122,153045,12623,Low,2,1,Low,14102,5000,11.938493808782109,9.443355043085655,
Ford,DBS,1991,USA,new,6.9,1284,462,1223,218,3.8,Diesel,AWD,Automatic,13.9,380,372759,106985,High,1,1,Low,3631,20000,12.828690059899591,11.5804532637621,
Porsche,DBS,1990,USA,used,3.6,511,1741,1848,201,6.7,Petrol,AWD,DCT,14.6,296,308477,176546,Medium,1,3,Medium,7929,20000,12.639405806980811,12.081342408858719,
Bugatti,720S,1981,Asia,new,3.3,1378,919,1500,316,3.7,Diesel,RWD,Manual,10.8,346,360046,160355,Low,4,2,High,7068,20000,12.793989857466213,11.985151622569061,
Porsche,Mustang GT,2020,USA,new,7.4,1296,1470,972,151,6.2,Electric,FWD,CVT,8.7,189,314436,118656,Low,1,1,Medium,7868,20000,12.658539017091284,11.683992257173799,
Nissan,720S,1981,Europe,new,1.9,560,333,1739,368,4.0,Electric,AWD,CVT,12.7,352,177623,228731,High,2,3,Medium,5191,200,12.087424235545411,12.340306291517074,
Bugatti,Mustang GT,2013,Asia,used,5.8,518,1143,2312,194,5.8,Electric,AWD,CVT,5.3,105,134600,124299,High,4,2,High,13732,200,11.810070125585671,11.730453277498802,
Ford,720S,1982,Europe,new,1.9,183,1699,2161,301,6.6,Electric,RWD,Automatic,14.3,118,430299,29708,High,4,2,Medium,11277,20000,12.972237918826691,10.299205309189412,
Nissan,Huracan,1995,Europe,new,6.7,153,441,1887,382,4.3,Electric,AWD,Manual,9.1,374,143539,233210,Medium,3,2,High,6876,20000,11.874369020984062,12.359698902157334,
Lamborghini,Huracan,1983,Asia,used,6.9,524,1221,2245,338,4.6,Petrol,RWD,Manual,8.1,209,106110,98311,High,4,2,Medium,12949,20000,11.57224099500568,11.495901373964433,
McLaren,Chiron,2002,USA,new,7.3,762,1198,2264,260,3.7,Diesel,AWD,DCT,6.3,194,464018,199538,Low,4,1,High,3298,20000,13.047680778645896,12.203764984928428,
Ford,720S,1999,Europe,new,2.8,248,903,2228,241,2.3,Diesel,FWD,Automatic,14.6,186,165860,174238,Medium,4,1,Medium,6205,20000,12.018905367168257,12.068183198940034,
Lamborghini,GT-R,2004,Asia,new,2.4,1112,975,1931,271,5.3,Diesel,AWD,CVT,13.1,112,421068,140036,High,2,3,Low,4573,50,12.950551994722057,11.84966195238841,Nismo
BMW,Chiron,2009,USA,used,4.8,1338,1214,2130,388,2.6,Petrol,RWD,DCT,12.2,441,485529,160427,High,3,1,Low,6865,1000,13.092996356771515,11.985600522771122,Turbo
Ford,DBS,1997,Asia,salvage,3.3,321,1211,1310,214,3.8,Petrol,AWD,CVT,14.3,294,207705,17202,High,2,1,Medium,1783,20000,12.243878897265928,9.752839066197039,Nismo
BMW,M4 Competition,2021,Asia,new,5.5,616,299,1157,330,3.7,Petrol,RWD,CVT,14.6,175,250052,48483,High,3,1,Medium,858,200,12.429428174375559,10.788989125590403,
Bugatti,720S,1990,Asia,new,4.9,762,499,1550,265,2.8,Petrol,RWD,Manual,7.7,328,454397,17390,Medium,3,2,Low,2773,1000,13.026728744970942,9.763708110007842,
Lamborghini,Huracan,2008,USA,new,2.5,850,1052,1969,298,5.3,Diesel,RWD,DCT,12.9,258,164130,227480,Low,4,1,Low,568,20000,12.008420168438791,12.33482199740193,V-Spec
McLaren,M4 Competition,1996,Europe,new,6.3,513,569,1025,398,2.9,Electric,FWD,Automatic,12.7,432,117868,223756,Low,1,4,Low,2525,100000,11.67732911726166,12.31831592056394,Supercharged
Nissan,Mustang GT,2005,Europe,used,6.7,941,1404,1944,276,5.9,Electric,FWD,CVT,10.6,122,321642,220066,Medium,1,3,Medium,8700,1000,12.681197513816697,12.30168732442449,Sport
Chevrolet,M4 Competition,2002,Asia,new,7.8,475,1590,2093,369,3.2,Petrol,AWD,Manual,6.5,304,57597,213535,High,2,1,Low,8972,20000,10.96124312385893,12.271560715703332,Sport
Porsche,GT-R,1999,Asia,new,4.1,602,250,1443,216,3.4,Diesel,RWD,Manual,14.4,425,412392,75719,High,4,4,Medium,2075,1000,12.929732057169051,11.234797605323259,
